names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,Avg,Average_crimes,District
"Taikos pr., 2 rooms flat for rent",450.0,8.6,52.18,2,1987.0,Brick,Fully equipped,Central,nan,23,4.5, Dainava
"Veiverių g., 1 room flat for rent",340.0,8.5,40.0,1,1990.0,Brick,Fully equipped,"Electric, solid fuel",nan,23,2.0, Aleksotas
"Nemuno g., 2 rooms flat for rent",590.0,10.0,59.0,2,1940.0,Brick,Fully equipped,"Electric, gas",nan,23,11.3, Senamiestis
"Laisvės al., 2 rooms flat for rent",550.0,12.2,45.0,2,1900.0,Brick,Fully equipped,Central,28.35,23,24.7, Centras
"Kęstučio g., 1 room flat for rent",240.0,15.0,16.0,1,1959.0,Brick,Fully equipped,Central,11.36,23,27.2, Centras
"Kęstučio g., 4 rooms flat for rent",850.0,10.9,78.0,4,1943.0,Brick,Fully equipped,Gas,32.76,23,22.0, Centras
"J. Bakanausko g., 2 rooms flat for rent",650.0,12.0,54.0,2,2023.0,Brick,Fully equipped,"Electric, gas, solid fuel, sun energy",nan,23,0.8, Freda
"Kalniečių g., 1 room flat for rent",280.0,9.7,29.0,1,1986.0,Brick,Fully equipped,Central,34.80,23,3.8, Žaliakalnis
"Kęstučio g., 3 rooms flat for rent",898.0,12.8,70.0,3,,Brick,Fully equipped,Gas,nan,23,26.6, Centras
"Žuvinto g., 2 rooms flat for rent",690.0,11.5,60.0,2,2008.0,Brick,Fully equipped,Central thermostat,36.00,23,2.8, Žaliakalnis
"Kranto 7-oji g., 2 rooms flat for rent",650.0,17.1,38.0,2,2022.0,Monolithic,Fully equipped,Gas,nan,23,5.0, Žemieji Šančiai
"Molėtų g., 1 room flat for rent",320.0,7.0,46.0,1,,Brick,Fully equipped,Gas,nan,23,5.6, Žaliakalnis
"M. Daukšos g., 3 rooms flat for rent",360.0,6.1,59.22,3,1956.0,Block house,Fully equipped,"Central, liquid",87.65,23,16.3, Senamiestis
"Partizanų g., 1 room flat for rent",300.0,9.7,31.0,1,1968.0,Block house,Fully equipped,Central,nan,23,14.1, Dainava
"P. Vileišio g., 2 rooms flat for rent",490.0,9.6,51.0,2,1970.0,Brick,Fully equipped,Central,48.45,23,9.7, Žaliakalnis
"Šarkuvos g., 1 room flat for rent",450.0,11.3,40.0,1,1988.0,Block house,Fully equipped,Central,45.20,23,11.2, Šilainiai
"V. Landsbergio-Žemkalnio g., 1 room flat for rent",420.0,10.8,39.0,1,1999.0,Brick,Fully equipped,Central,44.85,23,12.0, Kalniečiai
"A. Mackevičiaus g., 2 rooms flat for rent",298.0,9.3,32.0,2,1939.0,Carcass house,Fully equipped,Gas,nan,23,14.6, Senamiestis
"V. Krėvės pr., 1 room flat for rent",450.0,13.2,34.0,1,1987.0,Block house,Fully equipped,Central,35.70,23,19.8, Dainava
"Pramonės pr., 1 room flat for rent",330.0,18.3,18.0,1,1970.0,Block house,Fully equipped,Central,8.28,23,23.0, Dainava
"Kalniečių g., 2 rooms flat for rent",890.0,11.9,75.0,2,,Brick,Fully equipped,"Gas, other",nan,23,3.2, Žaliakalnis
"Kovo 11-osios g., 2 rooms flat for rent",530.0,12.0,44.0,2,1980.0,Block house,Fully equipped,Central,32.56,23,19.0, Dainava
"Maironio g., 2 rooms flat for rent",850.0,14.2,60.0,2,1941.0,Brick,Fully equipped,Central,94.80,23,19.3, Centras
"Jonavos g., 3 rooms flat for rent",1100.0,14.9,74.0,3,,Other,Fully equipped,Gas,nan,23,9.6, Senamiestis
"Šiaurės pr., 3 rooms flat for rent",599.0,9.2,65.0,3,1980.0,Block house,Fully equipped,Central,54.60,23,14.4, Eiguliai
"Chemijos g., 1 room flat for rent",270.0,14.2,19.0,1,1980.0,Brick,Fully equipped,Central,22.23,23,15.6, Dainava
"Miško g., 2 rooms flat for rent",630.0,15.0,42.0,2,,Brick,Fully equipped,Central thermostat,27.72,23,34.0, Centras
"Gedimino g., 2 rooms flat for rent",1200.0,12.5,96.34,2,2017.0,Brick,Fully equipped,Central thermostat,nan,23,14.2, Centras
"V. Krėvės pr., 2 rooms flat for rent",380.0,8.1,47.16,2,1974.0,Block house,Partially equipped,Central,41.50,23,9.7, Dainava
"L. Sapiegos g., 2 rooms flat for rent",580.0,10.5,55.0,2,1949.0,Brick,Fully equipped,Central,79.20,23,20.8, Centras
"V. Krėvės pr., 1 room flat for rent",430.0,13.9,31.0,1,1970.0,Block house,Fully equipped,Central,26.97,23,9.2, Žaliakalnis
"H. ir O. Minkovskių g., 3 rooms flat for rent",800.0,16.0,50.0,3,2023.0,Monolithic,Fully equipped,Central,21.00,23,1.0, Aleksotas
"Baltijos g., 3 rooms flat for rent",600.0,8.1,74.0,3,1990.0,Block house,Fully equipped,Central,75.48,23,10.5, Šilainiai
"Vydūno al., 2 rooms flat for rent",450.0,11.3,40.0,2,2008.0,Brick,Fully equipped,Gas,nan,23,1.7, Žaliakalnis
"Šarkuvos g., 2 rooms flat for rent",500.0,12.8,39.0,2,1988.0,Brick,Fully equipped,Central thermostat,nan,23,11.6, Šilainiai
"Spaustuvininkų g., 2 rooms flat for rent",619.0,15.1,41.0,2,,Brick,Fully equipped,Central thermostat,36.08,23,25.5, Centras
"Vievio g., Room rent",170.0,12.1,14.0,1,1984.0,Log house,Fully equipped,Gas,nan,23,9.5, Aukštieji Šančiai
"Draugystės g., 2 rooms flat for rent",490.0,9.8,50.0,2,1985.0,Brick,Fully equipped,Central,61.00,23,14.4, Dainava
"Žemalės g., 1 room flat for rent",350.0,12.1,29.0,1,1997.0,Brick,Fully equipped,Electric,nan,23,2.9, Šilainiai
"Kovo 11-osios g., 2 rooms flat for rent",490.0,10.9,45.0,2,1978.0,Block house,Fully equipped,Central,45.90,23,11.4, Dainava
"A. Juozapavičiaus pr., 2 rooms flat for rent",1000.0,15.9,63.0,2,2023.0,Block house,Fully equipped,Central thermostat,39.69,23,2.5, Aukštieji Šančiai
"A. Mackevičiaus g., 2 rooms flat for rent",450.0,15.0,30.0,2,1916.0,Log house,Fully equipped,Gas,nan,23,16.1, Senamiestis
"I. Kanto g., 2 rooms flat for rent",3000.0,33.0,91.0,2,2008.0,Monolithic,Fully equipped,"Electric, central thermostat, aerothermal, sun energy",56.42,23,19.9, Centras
"S. Žukausko g., 3 rooms flat for rent",700.0,10.0,70.0,3,2018.0,Brick,Fully equipped,Central thermostat,30.10,23,8.9, Kalniečiai
"Pabiržės g., 2 rooms flat for rent",650.0,14.1,46.0,2,2025.0,Brick,Fully equipped,Central thermostat,nan,23,2.1, Aukštieji Šančiai
"Savanorių pr., 1 room flat for rent",560.0,26.7,21.0,1,,Brick,Fully equipped,Central thermostat,7.35,23,17.9, Žaliakalnis
"Pienių g., 2 rooms flat for rent",560.0,16.5,34.0,2,,Brick,Fully equipped,Gas,nan,23,2.2, Šilainiai
"Biržiškų g., 2 rooms flat for rent",595.0,14.6,40.8,2,2011.0,Brick,Fully equipped,Central thermostat,19.99,23,9.1, Gričiupis
"Pramonės pr., 1 room flat for rent",450.0,14.1,32.0,1,1980.0,Block house,Fully equipped,Central,25.60,23,10.1, Dainava
"Garažų g., 1 room flat for rent",490.0,18.1,27.0,1,2024.0,Brick,Fully equipped,Central thermostat,8.64,23,4.1, Dainava
"Verkių g., 2 rooms flat for rent",450.0,9.0,50.13,2,1990.0,Brick,Fully equipped,Central,62.16,23,6.7, Aukštieji Šančiai
"Baltijos g., 2 rooms flat for rent",550.0,10.6,52.0,2,1996.0,Brick,Fully equipped,Central,48.36,23,6.3, Šilainiai
"V. Putvinskio g., 2 rooms flat for rent",630.0,11.5,55.0,2,1939.0,Brick,Fully equipped,Gas,nan,23,20.5, Centras
"Kęstučio g., 2 rooms flat for rent",720.0,16.4,44.0,2,,Brick,Fully equipped,Central thermostat,40.04,23,23.2, Centras
"Mosėdžio g., 2 rooms flat for rent",665.0,10.4,64.0,2,2009.0,Brick,Fully equipped,"Central, electric, central thermostat",30.08,23,6.8, Šilainiai
"A. Kriščiukaičio g., 2 rooms flat for rent",550.0,14.5,38.0,2,,Brick,Fully equipped,Gas,nan,23,8.1, Vilijampolė
"Sukilėlių pr., 3 rooms flat for rent",570.0,9.2,62.0,3,1984.0,Block house,Fully equipped,Central,56.42,23,8.4, Eiguliai
"Pagėgių g., 1 room flat for rent",350.0,10.0,35.0,1,1992.0,Brick,Fully equipped,Central,35.00,23,2.3, Panerys
"Birželio 23-iosios g., 2 rooms flat for rent",550.0,11.7,47.0,2,1978.0,Brick,Fully equipped,Central,47.47,23,10.6, Dainava
"Piliuonos g., 1 room flat for rent",350.0,11.7,30.0,1,2018.0,Brick,Fully equipped,"Gas, solid fuel",nan,23,0.3, Vaišvydava
"Dzūkų g., 2 rooms flat for rent",580.0,14.2,40.83,2,1931.0,Log house,Fully equipped,Gas,nan,23,12.1, Žaliakalnis
"Miškinio g., 2 rooms flat for rent",400.0,8.9,45.0,2,,Brick,Fully equipped,Gas,nan,23,4.5, Vilijampolė
"Smėlio g., 3 rooms flat for rent",680.0,13.1,52.0,3,2024.0,Brick,Fully equipped,Geothermal,nan,23,3.1, Panemunė
"Savanorių pr., Room rent",220.0,11.4,19.34,1,,Brick,Fully equipped,Central thermostat,10.25,23,15.1, Žaliakalnis
"Ašigalio g., 1 room flat for rent",390.0,11.8,33.0,1,1983.0,Block house,Fully equipped,Central,35.64,23,7.9, Eiguliai
"Gedimino g., 3 rooms flat for rent",1100.0,12.6,87.0,3,2020.0,Brick,Fully equipped,Central thermostat,nan,23,14.2, Centras
"Vilniaus g., 4 rooms flat for rent",1000.0,12.2,82.0,4,,Brick,Fully equipped,Gas,nan,23,12.7, Centras
"Partizanų g., 1 room flat for rent",420.0,14.0,30.0,1,1978.0,Brick,Fully equipped,Central,25.80,23,19.0, Dainava
"Muitinės g., 2 rooms flat for rent",550.0,10.4,53.0,2,,Brick,Fully equipped,Electric,20.67,23,13.3, Senamiestis
"Linkuvos g., 2 rooms flat for rent",750.0,11.9,63.0,2,2023.0,Wooden house,Fully equipped,Electric,nan,23,10.8, Vilijampolė
"Krėvos g., 2 rooms flat for rent",760.0,18.1,42.0,2,2023.0,Brick,Fully equipped,Central thermostat,20.58,23,10.7, Centras
"Laisvės al., 4 rooms flat for rent",2000.0,17.5,114.0,4,2023.0,Brick,Fully equipped,Central thermostat,43.32,23,15.7, Centras
"Birželio 23-iosios g., 1 room flat for rent",480.0,14.5,33.0,1,1986.0,Block house,Fully equipped,Central,33.33,23,10.6, Dainava
"Amerikos Lietuvių g., 3 rooms flat for rent",1000.0,14.1,71.0,3,2021.0,Brick,Fully equipped,Central thermostat,nan,23,0.8, Aleksotas
"Kalniečių g., 2 rooms flat for rent",450.0,12.2,37.0,2,1987.0,Brick,Fully equipped,Central,31.08,23,7.3, Žaliakalnis
"Naglio g., 1 room flat for rent",330.0,18.3,18.0,1,1973.0,Block house,Fully equipped,Central,7.56,23,8.1, Petrašiūnai
"Ariogalos g., 1 room flat for rent",230.0,12.8,18.0,1,1976.0,Brick,Fully equipped,Central,18.36,23,12.0, Vilijampolė
"M. Gimbutienės g., 1 room flat for rent",260.0,16.3,16.0,1,1982.0,Brick,Fully equipped,Central,17.76,23,7.9, Petrašiūnai
"Tvirtovės al., 1 room flat for rent",500.0,17.9,28.0,1,2023.0,Brick,Fully equipped,Central thermostat,4052.44,23,8.2, Žaliakalnis
"K. Genio g., 3 rooms flat for rent",700.0,14.0,50.0,3,2022.0,Brick,Fully equipped,Central thermostat,nan,23,7.7, Žaliakalnis
"T. Ivanausko g., 2 rooms flat for rent",700.0,20.6,34.0,2,1997.0,Brick,Fully equipped,Gas,nan,23,0.5, Aleksotas
"T. Ivanausko g., 1 room flat for rent",650.0,22.4,29.0,1,1997.0,Brick,Fully equipped,Gas,nan,23,0.5, Aleksotas
"T. Ivanausko g., 2 rooms flat for rent",700.0,24.1,29.0,2,1997.0,Brick,Fully equipped,Gas,nan,23,0.5, Aleksotas
"Alyvų g., 3 rooms flat for rent",800.0,12.9,62.0,3,2024.0,Brick,Fully equipped,Electric,nan,23,0.3, Freda
"Laisvės al., 2 rooms flat for rent",750.0,15.6,48.0,2,1975.0,Brick,Fully equipped,Central,45.12,23,21.7, Centras
"R. Kalantos g., 1 room flat for rent",300.0,9.1,33.0,1,1980.0,Brick,Fully equipped,Central,47.85,23,7.5, Petrašiūnai
"Puodžių g., 1 room flat for rent",700.0,14.0,50.0,1,2018.0,Brick,Fully equipped,Central,nan,23,10.9, Senamiestis
"Ramybės g., 1 room flat for rent",520.0,12.7,40.83,1,,Brick,Fully equipped,"Electric, other",nan,23,1.7, Žemutiniai Kaniūkai
"Vėtrungės g., 2 rooms flat for rent",435.0,8.7,50.0,2,1988.0,Block house,Fully equipped,Central,61.50,23,4.8, Šilainiai
"Laisvės al., 3 rooms flat for rent",850.0,17.9,47.51,3,1907.0,Brick,Fully equipped,Gas,nan,23,16.7, Centras
"Jonavos g., 4 rooms flat for rent",900.0,10.0,90.0,4,,Brick,Fully equipped,Gas,nan,23,15.4, Senamiestis
"Žemalės g., 2 rooms flat for rent",450.0,18.0,25.0,2,1994.0,Brick,Fully equipped,Electric,nan,23,2.9, Šilainiai
"Žemaičių g., 2 rooms flat for rent",700.0,10.8,65.0,2,2022.0,Brick,Fully equipped,Central,26.65,23,10.7, Žaliakalnis
"Vidurinė g., 3 rooms flat for rent",500.0,5.6,90.0,3,1938.0,Wooden house,Fully equipped,Solid fuel,nan,23,11.0, Vilijampolė
"A. Jasaičio g., 3 rooms flat for rent",600.0,8.3,72.0,3,,Brick,Fully equipped,Gas,nan,23,7.7, Žaliakalnis
"Taikos pr., 1 room flat for rent",300.0,13.6,22.0,1,1992.0,Brick,Fully equipped,Central,32.12,23,8.6, Dainava
"Perkūno al., 2 rooms flat for rent",550.0,11.0,50.0,2,,Brick,Fully equipped,Central,nan,23,2.9, Žaliakalnis
"Taikos pr., 2 rooms flat for rent",450.0,12.5,36.0,2,1982.0,Block house,Fully equipped,Central,35.64,23,10.3, Dainava
"Plieno g., Room rent",230.0,16.4,14.0,1,1995.0,Brick,Fully equipped,Gas,nan,23,5.7, Aukštieji Šančiai
"Vydūno al., 2 rooms flat for rent",600.0,8.6,70.0,2,1990.0,Brick,Fully equipped,Gas,nan,23,19.3, Žaliakalnis
"T. Ivanausko g., 2 rooms flat for rent",790.0,18.8,42.0,2,1997.0,Brick,Fully equipped,Gas,nan,23,0.5, Aleksotas
"Baltų pr., 2 rooms flat for rent",530.0,10.4,51.0,2,1993.0,Block house,Fully equipped,Central,45.39,23,3.3, Šilainiai
"Sukilėlių pr., Room rent",220.0,11.0,20.0,1,1980.0,Block house,Fully equipped,Central,21.40,23,14.4, Žaliakalnis
"Vytauto pr., 2 rooms flat for rent",520.0,15.3,34.0,2,,Brick,Fully equipped,Central,17.68,23,13.2, Centras
"Sąjungos a., 2 rooms flat for rent",500.0,5.9,85.0,2,1983.0,Block house,Fully equipped,"Central, electric",44.20,23,9.7, Vilijampolė
"J. Damijonaičio g., 3 rooms flat for rent",750.0,11.5,65.0,3,,Brick,Fully equipped,"Central thermostat, gas",nan,23,1.1, Aleksotas
"Verkių g., Room rent",350.0,4.3,82.0,1,1980.0,Brick,Fully equipped,Central,nan,23,8.6, Aukštieji Šančiai
"Aušros g., 1 room flat for rent",600.0,14.3,42.0,1,,Brick,Fully equipped,Electric,nan,23,12.1, Žaliakalnis
"P. Kalpoko g., 2 rooms flat for rent",750.0,16.3,46.0,2,2021.0,Brick,Fully equipped,Gas,nan,23,2.1, Žaliakalnis
"Savanorių pr., 2 rooms flat for rent",600.0,13.2,45.6,2,1940.0,Brick,Fully equipped,Gas,nan,23,15.6, Centras
"H. ir O. Minkovskių g., 2 rooms flat for rent",650.0,14.4,45.0,2,2023.0,Brick,Fully equipped,Central thermostat,nan,23,1.2, Centras
"Partizanų g., 2 rooms flat for rent",650.0,18.1,36.0,2,1980.0,Block house,Fully equipped,Central,33.12,23,15.3, Dainava
"K. Donelaičio g., 1 room flat for rent",520.0,16.3,32.0,1,,Brick,Fully equipped,Gas,nan,23,16.1, Centras
"Parodos g., 1 room flat for rent",300.0,12.5,24.0,1,1935.0,Brick,Fully equipped,Central,45.36,23,23.1, Centras
"M. K. Čiurlionio g., 2 rooms flat for rent",650.0,14.1,46.0,2,,Brick,Fully equipped,Central thermostat,nan,23,14.2, Centras
"Laisvės al., 3 rooms flat for rent",700.0,11.3,61.76,3,1975.0,Brick,Fully equipped,Central,58.05,23,21.7, Centras
"I. Kanto g., 2 rooms flat for rent",550.0,10.2,54.0,2,1972.0,Brick,Fully equipped,Central,44.28,23,19.8, Centras
"Žemaičių g., 2 rooms flat for rent",620.0,16.3,38.0,2,2021.0,Brick,Fully equipped,Central thermostat,15.58,23,10.7, Žaliakalnis
"Romainių g., 1 room flat for rent",398.0,8.0,50.0,1,2000.0,Brick,Fully equipped,Gas,nan,23,0.4, Romainiai
"Kęstučio g., 2 rooms flat for rent",700.0,17.5,39.91,2,,Brick,Fully equipped,Central,36.32,23,23.2, Centras
"Kaunakiemio g., 1 room flat for rent",440.0,17.6,25.0,1,2018.0,Brick,Fully equipped,Electric,nan,23,14.0, Centras
"K. Petrausko g., 2 rooms flat for rent",600.0,9.5,63.0,2,,Brick,Fully equipped,Gas,nan,23,19.5, Žaliakalnis
"Šiaurės pr., 1 room flat for rent",380.0,10.3,37.0,1,1987.0,Monolithic,Fully equipped,Central,53.28,23,14.6, Eiguliai
"Šiaurės pr., 2 rooms flat for rent",590.0,11.6,51.0,2,1979.0,Block house,Fully equipped,Central,65.28,23,8.5, Kalniečiai
"K. Donelaičio g., 2 rooms flat for rent",550.0,10.0,55.0,2,1953.0,Brick,Fully equipped,Gas,nan,23,24.9, Centras
"A. Juozapavičiaus pr., 1 room flat for rent",480.0,13.7,35.0,1,2016.0,Brick,Fully equipped,Central thermostat,13.30,23,6.7, Žemieji Šančiai
"Taikos pr., 2 rooms flat for rent",450.0,8.6,52.18,2,1987.0,Brick,Fully equipped,Central,nan,23,4.5, Dainava
"Savanorių pr., 3 rooms flat for rent",850.0,9.4,90.0,3,2008.0,Brick,Fully equipped,Other,68.40,23,13.5, Dainava
"J. Jablonskio g., 1 room flat for rent",410.0,12.1,34.0,1,1900.0,Brick,Fully equipped,Central,48.28,23,17.3, Senamiestis
"Gražinos g., 1 room flat for rent",498.0,19.9,25.0,1,2021.0,Brick,Fully equipped,Central thermostat,6.75,23,10.9, Žaliakalnis
"Taikos pr., 1 room flat for rent",398.0,22.1,18.0,1,2023.0,Brick,Fully equipped,Central,6.30,23,8.7, Dainava
"Šarkuvos g., 2 rooms flat for rent",450.0,9.0,50.0,2,1990.0,Block house,Fully equipped,Central,55.00,23,6.1, Šilainiai
"Medvėgalio g., 1 room flat for rent",480.0,16.0,30.09,1,1991.0,Brick,Fully equipped,Central,29.19,23,4.9, Aukštieji Šančiai
"Varpo g., Room rent",220.0,3.0,74.0,1,1980.0,Brick,Fully equipped,Central,73.26,23,8.8, Žaliakalnis
"Kęstučio g., 2 rooms flat for rent",600.0,10.2,59.0,2,1969.0,Brick,Fully equipped,Central,68.44,23,23.5, Centras
"Pramonės pr., 2 rooms flat for rent",309.0,5.5,56.12,2,1975.0,Brick,Fully equipped,"Central, electric, central thermostat",nan,23,3.4, Petrašiūnai
"V. Krėvės pr., 1 room flat for rent",320.0,17.8,18.0,1,1979.0,Brick,Fully equipped,Central,16.02,23,14.7, Dainava
"Rotušės a., 2 rooms flat for rent",670.0,12.6,53.0,2,,Brick,Fully equipped,Central,nan,23,8.1, Centras
"Karaliaus Mindaugo pr., Room rent",710.0,10.7,66.58,1,,Brick,Fully equipped,Gas,nan,23,13.8, Centras
"Eitkūnų g., 2 rooms flat for rent",545.0,9.7,56.0,2,2008.0,Brick,Fully equipped,Central thermostat,nan,23,2.4, Šilainiai
"Partizanų g., 1 room flat for rent",360.0,20.0,18.0,1,1972.0,Brick,Fully equipped,Central,15.30,23,18.8, Dainava
"V. Putvinskio g., 3 rooms flat for rent",1150.0,8.6,133.0,3,,Brick,Fully equipped,Central,155.61,23,24.5, Centras
"Kaunakiemio g., 3 rooms flat for rent",770.0,17.5,44.0,3,2017.0,Brick,Fully equipped,Gas,nan,23,14.0, Centras
"Šiaurės pr., 2 rooms flat for rent",298.0,6.1,49.0,2,1976.0,Block house,Fully equipped,Central,nan,23,15.0, Eiguliai
"M. Gimbutienės g., 1 room flat for rent",400.0,13.3,30.0,1,1971.0,Brick,Fully equipped,Central,24.30,23,10.1, Petrašiūnai
"Kampiškių g., 2 rooms flat for rent",400.0,9.1,44.0,2,1975.0,Brick,Fully equipped,Central,55.88,23,3.3, Panemunė
"Virbalio g., 2 rooms flat for rent",600.0,15.0,40.0,2,2021.0,Block house,Fully equipped,Gas,nan,23,1.1, Aleksotas
"Sukilėlių pr., 1 room flat for rent",375.0,10.1,37.0,1,1986.0,Monolithic,Fully equipped,Central,49.21,23,6.8, Eiguliai
"Taikos pr., 1 room flat for rent",530.0,19.6,27.0,1,2024.0,Brick,Fully equipped,Central thermostat,nan,23,9.0, Dainava
"Kauko al., 1 room flat for rent",470.0,26.1,18.0,1,,Brick,Fully equipped,Electric,nan,23,22.3, Žaliakalnis
"V. Krėvės pr., 1 room flat for rent",280.0,9.3,30.0,1,1966.0,Block house,Fully equipped,Central,23.70,23,9.3, Dainava
"Darbininkų g., 2 rooms flat for rent",600.0,17.1,35.0,2,2024.0,Brick,Fully equipped,Gas,nan,23,3.0, Žaliakalnis
"Dzūkų g., 4 rooms flat for rent",1800.0,16.4,110.0,4,2000.0,Brick,Fully equipped,Central,61.60,23,11.3, Žaliakalnis
"Kovo 11-osios g., 2 rooms flat for rent",550.0,11.9,46.13,2,,Block house,Fully equipped,Central,30.91,23,16.1, Dainava
"Neries krant., 2 rooms flat for rent",580.0,12.6,46.0,2,1963.0,Block house,Fully equipped,Central,nan,23,10.9, Vilijampolė
"Žemaičių g., 3 rooms flat for rent",520.0,8.7,60.0,3,1958.0,Brick,Fully equipped,Gas,nan,23,11.6, Žaliakalnis
"Pušyno g., 3 rooms flat for rent",470.0,9.0,52.0,3,1950.0,Wooden house,Fully equipped,Solid fuel,nan,23,6.5, Žemieji Šančiai
"Dzūkų g., 2 rooms flat for rent",559.0,10.0,56.0,2,2008.0,Brick,Fully equipped,Central thermostat,31.36,23,11.3, Žaliakalnis
"H. ir O. Minkovskių g., 2 rooms flat for rent",850.0,18.9,45.0,2,2024.0,Brick,Fully equipped,"Central thermostat, aerothermal",18.90,23,1.0, Aleksotas
